BARRIO,Lat,Long,Nombre_Comuna,Numero_Comuna
EL PESEBRE,6.27526000000,-75.60300000000,SAN JAVIER,13
BLANQUIZAL,6.27674000000,-75.60900000000,SAN JAVIER,13
LA GABRIELA,6.26982000000,-75.62530000000,SAN JAVIER,13
JUAN XXIII - LA QUIEBRA,6.26905000000,-75.61910000000,SAN JAVIER,13
METROPOLITANO,6.26936000000,-75.61390000000,SAN JAVIER,13
SANTA ROSA DE LIMA,6.27197000000,-75.61210000000,SAN JAVIER,13
EL SOCORRO,6.26411000000,-75.62200000000,SAN JAVIER,13
ANTONIO NARIÑO,6.26113000000,-75.62520000000,SAN JAVIER,13
LA PRADERA,6.26356000000,-75.61510000000,SAN JAVIER,13
SAN JAVIER #2,6.26068000000,-75.61830000000,SAN JAVIER,13
LOS ALCAZARES,6.26357000000,-75.60870000000,SAN JAVIER,13
SAN JAVIER #1,6.25871000000,-75.62090000000,SAN JAVIER,13
EL SALADO,6.25723000000,-75.63190000000,SAN JAVIER,13
EDUARDO SANTOS,6.26179000000,-75.63330000000,SAN JAVIER,13
NUEVOS CONQUISTADORES,6.25308000000,-75.63150000000,SAN JAVIER,13
20 DE JULIO,6.25472000000,-75.62430000000,SAN JAVIER,13
LA INDEPENDENCIA,6.25161000000,-75.62680000000,SAN JAVIER,13
BELENCITO,6.25102000000,-75.62080000000,SAN JAVIER,13
BETANIA,6.24554000000,-75.62310000000,SAN JAVIER,13
EL CORAZÓN,6.24880000000,-75.63050000000,SAN JAVIER,13
SANTANDER,6.30994000000,-75.57840000000,DOCE DE OCTUBRE,6
DOCE DE OCTUBRE #1,6.30973000000,-75.58300000000,DOCE DE OCTUBRE,6
PROGRESO #2,6.30973000000,-75.58710000000,DOCE DE OCTUBRE,6
EL TRIUNFO,6.30948000000,-75.58920000000,DOCE DE OCTUBRE,6
MIRADOR DEL DOCE,6.30577000000,-75.58700000000,DOCE DE OCTUBRE,6
DOCE DE OCTUBRE #2,6.30244000000,-75.58230000000,DOCE DE OCTUBRE,6
PICACHITO,6.30151000000,-75.59090000000,DOCE DE OCTUBRE,6
PICACHO,6.29964000000,-75.58830000000,DOCE DE OCTUBRE,6
SAN MARTIN DE PORRES,6.29725000000,-75.58500000000,DOCE DE OCTUBRE,6
